UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,z_scores
3416,L50595,L,5.708438286192395,310.4,0.31621459576431044,36.9,133.0,False,False,False,False,False,False,-0.30982162123513507
7130,L54309,L,5.705780477318874,310.0,0.316214595766845,31.0,107.0,False,False,False,False,False,False,-0.9063794281097326
2320,M17179,M,5.7011122461003225,308.8,0.3162145957693682,33.5,185.0,False,False,False,False,False,False,-0.6536006963832082
9601,M24460,M,5.700109069289892,310.0,0.31621459576341365,45.3,58.0,False,False,False,False,False,False,0.5395149173659868
614,L47793,L,5.697429000684026,309.9,0.3162145957668029,30.0,53.0,False,False,False,False,False,False,-1.0074909208003424
4602,M19461,M,5.713732805509369,311.1,0.31621459575072053,54.3,117.0,True,False,True,False,False,False,1.4495183515814747
5247,L52426,L,5.703811107004786,310.0115802171291,0.31621459575781546,41.0,56.0,False,False,False,False,False,False,0.10473549879636511
7008,L54187,L,5.705447753975262,310.6,0.31621459575996985,45.2,8.0,False,False,False,False,False,False,0.5294037680969265
9375,M24234,M,5.696422120249909,308.5,0.3162145957578818,44.7,88.0,False,False,False,False,False,False,0.47884802175162156
1962,L49141,L,5.696422120249909,310.0115802171291,0.31621459575665806,51.2,107.0,False,False,False,False,False,False,1.136072724240585
7006,M21865,M,5.703811107004786,310.7,0.31621459574768895,52.9,0.0,False,False,False,False,False,False,1.3079622618146212
5551,M20410,M,5.711419901785413,311.9,0.3162145957605067,42.3,159.0,False,False,False,False,False,False,0.23618043929415752
8974,L56153,L,5.693058511293225,307.4,0.3162145957627915,48.3,105.0,False,False,False,False,False,False,0.8428493954378161
4228,L51407,L,5.711089049838639,310.8,0.31621459575166505,46.9,45.0,False,False,False,False,False,False,0.7012933056709626
1489,L48668,L,5.697764402330638,309.1,0.3162145957637675,36.3,166.0,False,False,False,False,False,False,-0.3704885168495011
8525,L55704,L,5.698099691520703,309.4,0.316214595758014,46.2,10.0,False,False,False,False,False,False,0.6305152607875362
4295,M19154,M,5.709433146165015,310.1,0.31621459577082883,27.3,210.0,False,False,False,False,False,False,-1.2804919510649886
